Original Sentence,Causal Text,Normalized Causal,Relation,Effect Text,Normalized Effect,Count
"The leading sources of climate information by village are reported in Table 2 ( where figures denote percentages , and each respondent could mention more than one source ) :",climate information village,climate information village,PROMOTE,climate information village,climate information village,1
"The author notes that : “ Compared to this pervasive manifestation of social vulnerability , climate extremes appear to be a minor hazard ” ( p.393 ) , which can be interpreted as evidence of how mental attitudes due to overall difficult life conditions may reduce people ’s appreciation of climate risks , diminishing the incentive to act .",climate extremes appear be hazard,climate extreme appear be hazard,INHIBIT,people appreciation climate risks,people appreciation climate risk,1
What climate and weather modeling and projections attempt to achieve is to reduce the degree of uncertainty of future events and produce predictions for outcomes and associated probabilities that are as close as possible to the underlying values .,climate weather modeling projections achieve,climate weather modeling projection achieve,PROMOTE,predictions outcomes associated probabilities,prediction outcome probability,1
It has also been proven that ignoring this kind of knowledge is counterproductive ; while integrating this into the process of climate information service may lead to better incorporation of relevant information into actual decisionPmaking and practices .,integrating process climate information service,integrating process climate information service,PROMOTE,incorporation relevant information actual decisionPmaking practices,incorporation information decisionpmaking practice,1
"Extension and sensitization campaigns that regularly reach out to communities and enable participants to revise their expectations and strategies appear to be very promising , even if requiring a higher cost than radio programs .",Extension sensitization campaigns,extension sensitization campaign,PROMOTE,participants revise expectations,participant revise expectation,1
"Thus , evidence from Tables 4 and 5 does not appear to support the claim that CSA practices emerge as the result of climate information provision .",climate information provision,climate information provision,PROMOTE,claim practices emerge,claim practice emerge,1
Very few groups have had to stop irrigating because they could not replace their worn-out pumping equipment .,replace worn-out pumping equipment,replace worn-out pumping equipment,PROMOTE,few groups have had irrigating,group have had irrigating,1
The socio-economic survey conducted by the OMVS ( 1980 ) indicated that women 's participation in farming increased the longer schemes had been established .,women participation farming,woman participation farming,PROMOTE,schemes had been established,scheme had been established,1
Delayed start of the growing season resulted in yield losses of up to 20 % due to cold-induced spikelet sterility .,Delayed start season,delayed start season,PROMOTE,yield % due cold-induced sterility,yield % sterility,1
"Our survey identiﬁed the following main agronomic constraints : ( i ) mismatches between timing of nitrogen ( N ) fertilizer applications and critical N demanding growth stages of the rice plant ; ( ii ) non-use of phosphorus ( P ) fertilizer on P deﬁcient soils ; ( iii ) largely neglected or inefﬁcient weed management and ( iv ) late harvesting , often due to non-availability of combine harvesters .",non-availability combine harvesters,non-availability combine harvester,PROMOTE,N demanding growth stages rice plant,n demanding growth stage rice plant,1
"’ Doss argues that because African households are complex , heterogeneous , and gender roles change in response to new economic opportunities such as technology insertions , it cannot easily be summarized .",households are complex heterogeneous gender response new economic opportunities such technology insertions cannot be summarized,household are gender response opportunity technology insertion be summarized,PROMOTE,households are complex heterogeneous gender response new economic opportunities such technology insertions cannot be summarized,household are gender response opportunity technology insertion be summarized,1
"While most of the West African governments have taken action to decrease dependency on rice imports by enrolling agricultural development plans to expand national rice production , imports still dominate consumption ( Dawe , 2010:144 ) .",enrolling agricultural development plans expand national rice,enrolling development plan expand rice,INHIBIT,dependency rice imports,dependency rice import,1
The rejection of the ‘ Pareto efficiency ’ thesis has greatly improved the understanding of household resource allocation behavior .,rejection Pareto efficiency,rejection pareto efficiency,PROMOTE,household resource allocation behavior,household resource allocation behavior,1
"Some of these are the unequal practice of inheritance , engrained patriarchal systems , limiting norms about what each gender should be engaged in doing , etc.",are unequal practice inheritance,are practice inheritance,INHIBIT,norms gender be engaged doing,norm gender be engaged doing,1
"The need for extension workers has also increased due to the individualization and expansion of land plots , in opposition to the preceding generation .",individualization expansion land plots,individualization expansion land plot,PROMOTE,need extension workers,need extension worker,1
"Access to agricultural lands is also a significant problem in Senegal due to renewed interest in agriculture by various stakeholders , land saturation and fragmentation resulting in a decreasing number of smallholder farms .",renewed interest agriculture various stakeholders land saturation fragmentation resulting,renewed interest agriculture stakeholder land saturation fragmentation resulting,INHIBIT,Access agricultural lands is problem,access land is problem,1
The recommended weed management ( T2 ) resulted in an average yield increase of 1.0 t ha ( cid :255 ) 1 .,recommended weed management,recommended weed management,PROMOTE,yield t ha cid,yield t ha,1
"The signiﬁcance of B. maritimus in the delta ( site 1 ) , where natural salinity is high , is due to the salt tolerance of this species that allows it to thrive where other species do not .",salt tolerance species,salt tolerance specie,INHIBIT,thrive species do,thrive specie do,1
Investment in the recommended treatments decreased the risk of nega - tive returns consistently ( with the exception of T2 in Mauritania ) and the highest investments resulted in the lowest risk of negative returns at all sites .,tive returns exception T2,return exception t2,INHIBIT,lowest risk returns sites,lowest risk return site,1
"A clear relationship was found between relative weed biomass and grain yield ( Fig. 3 ) , though variability in environmental and agronomic fertilizer management ) resulted in a considerable variability in grain yields for any given relative weed biomass .",variability environmental agronomic fertilizer management,variability fertilizer management,PROMOTE,variability grain yields given weed biomass,variability grain yield given weed biomass,1
"Besides yield losses in the current season , poor weed management results in the ingression of weeds and a build-up of seed banks in the soil , that in turn leads to increased weed growth and yield losses in following seasons , and in some cases to production",ingression weeds build-up seed banks soil,ingression weed build-up seed bank soil,PROMOTE,weed growth yield following seasons,weed growth yield following season,1
The water allocation rules led to low irriga-tion frequency in fields far from the irrigation source .,water allocation rules,water allocation rule,INHIBIT,irriga-tion fields irrigation source,field irrigation source,2
"Processing infrastructure and investment Current status : The cereal milling industry in Senegal mainly serves the domestic market , providing important staples and critically contributing to the country ’s food security .",cereal milling industry,cereal milling industry,PROMOTE,country food security,country food security,1
"The characteristics of imported rice ( quality , price ) induce changes in the market shares of the different rice categories and partly explain the relative competitiveness of local rice .",characteristics imported rice,characteristic imported rice,PROMOTE,market shares different rice,market share rice,1
"8. Support farmers institutions and community-based cooperatives improving access to training , markets , inputs , capital , information , research , storage and processing options on a community level as well as the organization of marketing",Support farmers institutions,support farmer institution,PROMOTE,access training markets inputs capital information research storage processing options community organization marketing,access training market input capital information research storage processing option community organization marketing,1
Increase public awareness of the potential for agroecological practices to protect the environment through the rational management of water and regeneration of soils,public awareness potential agroecological practices,awareness potential practice,PROMOTE,protect environment rational management water regeneration soils,protect environment management water regeneration soil,1
"The small scale of informal hullers and small rice miles allows them to be owned and operated by a number of small entrepreneurs , creating income and employment , and — — though this — — improved food security .",scale informal hullers rice,scale hullers rice,PROMOTE,be owned operated entrepreneurs,be owned operated entrepreneur,1
